city,country,venue,capacity,matches_hosted,date,date_type,url,prices_found,median_price,error
Houston,USA,NRG Stadium,72220,6,2026-06-12,match,"https://www.booking.com/searchresults.html?ss=Houston, Texas&checkin=2026-06-12&checkout=2026-06-13&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[54.0, 54.0, 60.0, 60.0, 60.0, 60.0, 65.0, 65.0, 68.0, 68.0, 68.0, 68.0, 70.0, 70.0, 72.0, 72.0, 72.0, 72.0, 75.0, 75.0, 79.0, 79.0, 81.0, 81.0, 84.0]",70.0,
Houston,USA,NRG Stadium,72220,6,2026-04-17,baseline,"https://www.booking.com/searchresults.html?ss=Houston, Texas&checkin=2026-04-17&checkout=2026-04-18&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Houston,USA,NRG Stadium,72220,6,2026-06-19,match,"https://www.booking.com/searchresults.html?ss=Houston, Texas&checkin=2026-06-19&checkout=2026-06-20&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[60.0, 60.0, 65.0, 65.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 75.0, 75.0, 84.0, 84.0, 99.0, 99.0, 100.0, 100.0, 101.0, 101.0, 110.0, 110.0, 110.0, 110.0, 116.0]",84.0,
Houston,USA,NRG Stadium,72220,6,2026-04-24,baseline,"https://www.booking.com/searchresults.html?ss=Houston, Texas&checkin=2026-04-24&checkout=2026-04-25&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Houston,USA,NRG Stadium,72220,6,2026-06-26,match,"https://www.booking.com/searchresults.html?ss=Houston, Texas&checkin=2026-06-26&checkout=2026-06-27&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[60.0, 60.0, 65.0, 65.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 75.0, 75.0, 81.0, 81.0, 84.0, 84.0, 99.0, 99.0, 100.0, 100.0, 101.0, 101.0, 110.0, 110.0, 116.0]",81.0,
Houston,USA,NRG Stadium,72220,6,2026-05-01,baseline,"https://www.booking.com/searchresults.html?ss=Houston, Texas&checkin=2026-05-01&checkout=2026-05-02&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Philadelphia,USA,Lincoln Financial Field,69796,6,2026-06-17,match,"https://www.booking.com/searchresults.html?ss=Philadelphia, Pennsylvania&checkin=2026-06-17&checkout=2026-06-18&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[119.0, 119.0, 125.0, 125.0, 128.0, 128.0, 135.0, 135.0, 138.0, 138.0, 150.0, 150.0, 159.0, 159.0, 161.0, 161.0, 171.0, 171.0, 180.0, 180.0, 182.0, 182.0, 185.0, 185.0, 188.0]",159.0,
Philadelphia,USA,Lincoln Financial Field,69796,6,2026-04-22,baseline,"https://www.booking.com/searchresults.html?ss=Philadelphia, Pennsylvania&checkin=2026-04-22&checkout=2026-04-23&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Philadelphia,USA,Lincoln Financial Field,69796,6,2026-06-24,match,"https://www.booking.com/searchresults.html?ss=Philadelphia, Pennsylvania&checkin=2026-06-24&checkout=2026-06-25&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[119.0, 119.0, 125.0, 125.0, 129.0, 129.0, 135.0, 135.0, 139.0, 139.0, 150.0, 150.0, 181.0, 181.0, 181.0, 181.0, 188.0, 188.0, 191.0, 191.0, 192.0, 192.0, 196.0, 196.0, 201.0]",181.0,
Philadelphia,USA,Lincoln Financial Field,69796,6,2026-04-29,baseline,"https://www.booking.com/searchresults.html?ss=Philadelphia, Pennsylvania&checkin=2026-04-29&checkout=2026-04-30&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Philadelphia,USA,Lincoln Financial Field,69796,6,2026-07-01,match,"https://www.booking.com/searchresults.html?ss=Philadelphia, Pennsylvania&checkin=2026-07-01&checkout=2026-07-02&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[119.0, 119.0, 125.0, 125.0, 130.0, 130.0, 135.0, 135.0, 149.0, 149.0, 150.0, 150.0, 150.0, 150.0, 158.0, 158.0, 167.0, 167.0, 170.0, 170.0, 175.0, 175.0, 183.0, 183.0, 195.0]",150.0,
Philadelphia,USA,Lincoln Financial Field,69796,6,2026-05-06,baseline,"https://www.booking.com/searchresults.html?ss=Philadelphia, Pennsylvania&checkin=2026-05-06&checkout=2026-05-07&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
